VendorID    PurchaseOrderID OrderDate               totaldue              Freight               taxamt                Rannk
1516        3809            2014-07-23 00:00:00.000 502.6203              11.3715               36.3888               3
1518        4006            2014-01-18 00:00:00.000 24070.75              437.65                1750.60               1
1520        4001            2014-02-11 00:00:00.000 5036.1465             91.5663               366.2652              1
1522        3965            2014-08-01 00:00:00.000 2214.3371             50.0981               160.314               1
1522        3412            2014-06-22 00:00:00.000 2214.3371             50.0981               160.314               2
1522        3491            2014-06-27 00:00:00.000 2214.3371             50.0981               160.314               3
1526        1075            2013-10-20 00:00:00.000 31160.2541            704.9831              2255.946              1
1526        972             2013-09-26 00:00:00.000 31160.2541            704.9831              2255.946              2
1526        908             2013-09-12 00:00:00.000 31160.2541            704.9831              2255.946              3
1530        3952            2014-07-31 00:00:00.000 31019.8639            701.8069              2245.782              1
1530        3399            2014-06-21 00:00:00.000 31019.8639            701.8069              2245.782              2
1530        3478            2014-06-27 00:00:00.000 31019.8639            701.8069              2245.782              3
1534        1307            2013-11-29 00:00:00.000 927.968               20.9948               67.1832               1
1534        2097            2014-02-25 00:00:00.000 858.353               19.4198               62.1432               2
1534        2887            2014-05-12 00:00:00.000 858.353               19.4198               62.1432               3
1536        1115            2013-11-07 00:00:00.000 2677.6714             60.5808               193.8586              1
1536        1905            2014-02-06 00:00:00.000 1809.9204             40.9484               131.035               2
1536        2695            2014-04-22 00:00:00.000 1809.9204             40.9484               131.035               3
1538        920             2013-09-15 00:00:00.000 41817.1504            946.0894              3027.486              1
1538        1007            2013-10-06 00:00:00.000 41817.1504            946.0894              3027.486              2
1538        1083            2013-10-21 00:00:00.000 41817.1504            946.0894              3027.486              3
1540        1255            2013-11-25 00:00:00.000 3373.0208             76.3127               244.2006              1
1540        515             2013-08-11 00:00:00.000 2819.1987             63.7828               204.1049              2
1540        685             2013-08-25 00:00:00.000 2675.3392             60.528                193.6897              3
1542        356             2013-05-22 00:00:00.000 31319.7885            708.5925              2267.496              1
1542        465             2013-08-07 00:00:00.000 31319.7885            708.5925              2267.496              2
1542        548             2013-08-13 00:00:00.000 31319.7885            708.5925              2267.496              3
1544        3240            2014-06-09 00:00:00.000 7721.4638             174.6938              559.02                1
1544        3319            2014-06-16 00:00:00.000 7721.4638             174.6938              559.02                2
1544        2845            2014-05-05 00:00:00.000 7721.4638             174.6938              559.02                3
1546        4011            2014-06-24 00:00:00.000 59941.75              1089.85               4359.40               1
1546        4009            2013-11-09 00:00:00.000 16406.50              298.30                1193.20               2
1548        3956            2014-08-01 00:00:00.000 66.2387               1.4986                4.7956                1
1548        3719            2014-07-16 00:00:00.000 66.2387               1.4986                4.7956                2
1548        3877            2014-07-27 00:00:00.000 66.2387               1.4986                4.7956                3
1554        835             2013-09-05 00:00:00.000 2278.1857             51.5427               164.9365              1
1554        1085            2013-10-30 00:00:00.000 1209.7347             27.3696               87.5826               2
1554        157             2012-05-30 00:00:00.000 855.2203              19.3489               61.9164               3
1556        1874            2014-02-03 00:00:00.000 28212.0589            638.2819              2042.502              1
1556        1953            2014-02-11 00:00:00.000 28212.0589            638.2819              2042.502              2
1556        1795            2014-01-23 00:00:00.000 28212.0589            638.2819              2042.502              3
1560        3789            2014-07-21 00:00:00.000 15104.7146            341.7356              1093.554              1
1560        3710            2014-07-15 00:00:00.000 15104.7146            341.7356              1093.554              2
1560        3868            2014-07-26 00:00:00.000 15104.7146            341.7356              1093.554              3
1562        1855            2014-01-29 00:00:00.000 2615.366              59.1712               189.3478              1
1562        2645            2014-04-17 00:00:00.000 1830.8049             41.4209               132.547               2
1562        3435            2014-06-24 00:00:00.000 1830.8049             41.4209               132.547               3
1566        1338            2013-12-04 00:00:00.000 113.3332              2.5641                8.2051                1
1566        1180            2013-11-15 00:00:00.000 113.3332              2.5641                8.2051                2
1566        1259            2013-11-26 00:00:00.000 113.3332              2.5641                8.2051                3
1568        3565            2014-07-03 00:00:00.000 54560.7563            1234.4063             3950.10               1
1568        2775            2014-04-29 00:00:00.000 54560.7563            1234.4063             3950.10               2
1568        455             2013-08-06 00:00:00.000 54560.7563            1234.4063             3950.10               3
1570        36              2012-01-16 00:00:00.000 56200.7696            1271.5106             4068.834              1
1570        115             2012-03-09 00:00:00.000 56200.7696            1271.5106             4068.834              2
1570        710             2013-08-27 00:00:00.000 56200.7696            1271.5106             4068.834              3
1572        3592            2014-07-07 00:00:00.000 510.278               11.5448               36.9432               1
1572        3434            2014-06-24 00:00:00.000 510.278               11.5448               36.9432               2
1572        3513            2014-06-30 00:00:00.000 510.278               11.5448               36.9432               3
1574        4010            2013-11-09 00:00:00.000 41536.00              755.20                3020.80               1
1574        4002            2014-09-22 00:00:00.000 1122.00               20.40                 81.60                 2
1576        3999            2014-08-03 00:00:00.000 100685.3348           2277.9488             7289.436              1
1576        3841            2014-07-25 00:00:00.000 100685.3348           2277.9488             7289.436              2
1576        3920            2014-07-29 00:00:00.000 100685.3348           2277.9488             7289.436              3
1578        1240            2013-11-22 00:00:00.000 69442.1228            1571.0888             5027.484              1
1578        1319            2013-12-02 00:00:00.000 69442.1228            1571.0888             5027.484              2
1578        1635            2014-01-06 00:00:00.000 69442.1228            1571.0888             5027.484              3
1580        1               2011-04-16 00:00:00.000 222.1492              5.026                 16.0832               1
1580        80              2012-02-09 00:00:00.000 166.6235              3.7698                12.0632               2
1580        238             2012-09-05 00:00:00.000 166.6235              3.7698                12.0632               3
1582        3025            2014-05-22 00:00:00.000 1272.3882             28.7871               92.1186               1
1582        3815            2014-07-23 00:00:00.000 1272.3882             28.7871               92.1186               2
1582        2235            2014-03-07 00:00:00.000 1272.3882             28.7871               92.1186               3
1584        127             2012-03-09 00:00:00.000 18056.0426            408.5078              1307.2248             1
1584        48              2012-01-16 00:00:00.000 18056.0426            408.5078              1307.2248             2
1584        967             2013-09-26 00:00:00.000 18056.0426            408.5078              1307.2248             3
1586        3431            2014-06-24 00:00:00.000 48485.6873            1096.9613             3510.276              1
1586        3510            2014-06-30 00:00:00.000 48485.6873            1096.9613             3510.276              2
1586        3589            2014-07-07 00:00:00.000 48485.6873            1096.9613             3510.276              3
1588        65              2012-01-24 00:00:00.000 44720.676             1011.78               3237.696              1
1588        144             2012-04-11 00:00:00.000 44720.676             1011.78               3237.696              2
1588        223             2012-08-16 00:00:00.000 44720.676             1011.78               3237.696              3
1590        3447            2014-06-25 00:00:00.000 580.125               13.125                42.00                 1
1590        3526            2014-07-01 00:00:00.000 580.125               13.125                42.00                 2
1590        3605            2014-07-08 00:00:00.000 580.125               13.125                42.00                 3
1592        51              2012-01-20 00:00:00.000 108.2513              2.4491                7.8372                1
1592        130             2012-03-14 00:00:00.000 108.2513              2.4491                7.8372                2
1592        209             2012-07-31 00:00:00.000 108.2513              2.4491                7.8372                3
1594        4007            2014-03-01 00:00:00.000 609422.00             11080.40              44321.60              1
1598        2535            2014-04-08 00:00:00.000 1166.3993             26.3891               84.4452               1
1598        3325            2014-06-16 00:00:00.000 1166.3993             26.3891               84.4452               2
1598        185             2012-06-22 00:00:00.000 1166.3993             26.3891               84.4452               3
1600        2305            2014-03-14 00:00:00.000 1410.2839             31.9069               102.102               1
1600        2384            2014-03-24 00:00:00.000 1410.2839             31.9069               102.102               2
1600        2463            2014-04-02 00:00:00.000 1410.2839             31.9069               102.102               3
1602        1886            2014-02-05 00:00:00.000 1984.6192             44.9009               143.6828              1
1602        1965            2014-02-12 00:00:00.000 1984.6192             44.9009               143.6828              2
1602        1728            2014-01-16 00:00:00.000 1984.6192             44.9009               143.6828              3
1604        2837            2014-05-05 00:00:00.000 2032.6535             45.9876               147.1604              1
1604        2916            2014-05-13 00:00:00.000 2032.6535             45.9876               147.1604              2
1604        2995            2014-05-20 00:00:00.000 2032.6535             45.9876               147.1604              3
1608        1470            2013-12-19 00:00:00.000 6572.8163             148.7063              475.86                1
1608        1628            2014-01-03 00:00:00.000 6572.8163             148.7063              475.86                2
1608        1549            2013-12-26 00:00:00.000 6572.8163             148.7063              475.86                3
1610        3181            2014-06-04 00:00:00.000 24880.9811            562.9181              1801.338              1
1610        3102            2014-05-28 00:00:00.000 24880.9811            562.9181              1801.338              2
1610        3339            2014-06-17 00:00:00.000 24880.9811            562.9181              1801.338              3
1612        1534            2013-12-25 00:00:00.000 146.5744              3.3162                10.6117               1
1612        1455            2013-12-18 00:00:00.000 146.5744              3.3162                10.6117               2
1612        1613            2014-01-02 00:00:00.000 146.5744              3.3162                10.6117               3
1614        3125            2014-05-30 00:00:00.000 1357.4925             30.7125               98.28                 1
1614        2335            2014-03-19 00:00:00.000 1357.4925             30.7125               98.28                 2
1614        3915            2014-07-29 00:00:00.000 1357.4925             30.7125               98.28                 3
1616        765             2013-09-01 00:00:00.000 2370.704              53.6358               171.6347              1
1616        1805            2014-01-24 00:00:00.000 2055.731              46.5098               148.8312              2
1616        595             2013-08-18 00:00:00.000 1187.6319             26.8695               85.9824               3
1618        983             2013-09-29 00:00:00.000 126.4905              2.8618                9.1577                1
1618        975             2013-09-27 00:00:00.000 126.4905              2.8618                9.1577                2
1618        892             2013-09-11 00:00:00.000 126.4905              2.8618                9.1577                3
1620        2320            2014-03-17 00:00:00.000 6311.1799             142.7869              456.918               1
1620        2399            2014-03-26 00:00:00.000 6311.1799             142.7869              456.918               2
1620        2478            2014-04-03 00:00:00.000 6311.1799             142.7869              456.918               3
1622        1705            2014-01-15 00:00:00.000 1354.3598             30.6416               98.0532               1
1622        3285            2014-06-12 00:00:00.000 1354.3598             30.6416               98.0532               2
1622        2495            2014-04-04 00:00:00.000 1354.3598             30.6416               98.0532               3
1624        3797            2014-07-22 00:00:00.000 31268.7375            707.4375              2263.80               1
1624        3876            2014-07-27 00:00:00.000 31268.7375            707.4375              2263.80               2
1624        3718            2014-07-16 00:00:00.000 31268.7375            707.4375              2263.80               3
1626        962             2013-09-22 00:00:00.000 7880.9981             178.3031              570.57                1
1626        879             2013-09-10 00:00:00.000 7880.9981             178.3031              570.57                2
1626        1125            2013-11-08 00:00:00.000 7880.9981             178.3031              570.57                3
1628        3863            2014-07-26 00:00:00.000 38281.8686            866.1056              2771.538              1
1628        3784            2014-07-21 00:00:00.000 38281.8686            866.1056              2771.538              2
1628        3705            2014-07-15 00:00:00.000 38281.8686            866.1056              2771.538              3
1632        998             2013-10-06 00:00:00.000 68612.544             1552.32               4967.424              1
1632        1058            2013-10-15 00:00:00.000 68612.544             1552.32               4967.424              2
1632        67              2012-01-24 00:00:00.000 68612.544             1552.32               4967.424              3
1636        4012            2014-06-24 00:00:00.000 1097448.00            19953.60              79814.40              1
1636        4004            2013-11-03 00:00:00.000 51021.30              927.66                3710.64               2
1636        4003            2014-05-14 00:00:00.000 30198.96              549.072               2196.288              3
1638        3972            2014-08-02 00:00:00.000 38281.8686            866.1056              2771.538              1
1638        3656            2014-07-11 00:00:00.000 38281.8686            866.1056              2771.538              2
1638        3735            2014-07-17 00:00:00.000 38281.8686            866.1056              2771.538              3
1644        641             2013-08-21 00:00:00.000 4103.2241             92.8331               297.066               1
1644        803             2013-09-03 00:00:00.000 4103.2241             92.8331               297.066               2
1644        720             2013-08-27 00:00:00.000 4103.2241             92.8331               297.066               3
1646        3725            2014-07-16 00:00:00.000 53073.8959            1200.7669             3842.454              1
1646        3567            2014-07-03 00:00:00.000 53073.8959            1200.7669             3842.454              2
1646        3646            2014-07-10 00:00:00.000 53073.8959            1200.7669             3842.454              3
1648        954             2013-09-22 00:00:00.000 157.3647              3.5603                11.3929               1
1648        871             2013-09-09 00:00:00.000 157.3647              3.5603                11.3929               2
1648        1117            2013-11-08 00:00:00.000 157.3647              3.5603                11.3929               3
1650        3539            2014-07-02 00:00:00.000 189.0395              4.2769                13.6861               1
1650        3618            2014-07-09 00:00:00.000 189.0395              4.2769                13.6861               2
1650        3381            2014-06-20 00:00:00.000 189.0395              4.2769                13.6861               3
1652        918             2013-09-15 00:00:00.000 57004.8229            1289.7019             4127.046              1
1652        1081            2013-10-21 00:00:00.000 57004.8229            1289.7019             4127.046              2
1652        1005            2013-10-06 00:00:00.000 57004.8229            1289.7019             4127.046              3
1654        2829            2014-05-03 00:00:00.000 22539.0165            509.9325              1631.784              1
1654        2908            2014-05-13 00:00:00.000 22539.0165            509.9325              1631.784              2
1654        3066            2014-05-26 00:00:00.000 22539.0165            509.9325              1631.784              3
1656        1015            2013-10-10 00:00:00.000 4352.6083             98.4753               315.121               1
1656        135             2012-03-28 00:00:00.000 3771.6362             85.3311               273.0596              2
1656        2485            2014-04-03 00:00:00.000 3771.6362             85.3311               273.0596              3
1658        1746            2014-01-20 00:00:00.000 48485.6873            1096.9613             3510.276              1
1658        1825            2014-01-27 00:00:00.000 48485.6873            1096.9613             3510.276              2
1658        1904            2014-02-06 00:00:00.000 48485.6873            1096.9613             3510.276              3
1662        2962            2014-05-16 00:00:00.000 40.9684               0.9269                2.966                 1
1662        3041            2014-05-23 00:00:00.000 40.9684               0.9269                2.966                 2
1662        2883            2014-05-09 00:00:00.000 40.9684               0.9269                2.966                 3
1664        1724            2014-01-16 00:00:00.000 16164.0229            365.7019              1170.246              1
1664        1803            2014-01-23 00:00:00.000 16164.0229            365.7019              1170.246              2
1664        1882            2014-02-04 00:00:00.000 16164.0229            365.7019              1170.246              3
1666        475             2013-08-07 00:00:00.000 1661.0139             37.5795               120.2544              1
1666        645             2013-08-21 00:00:00.000 1516.8761             34.3185               109.8191              2
1666        1215            2013-11-20 00:00:00.000 1214.4337             27.4759               87.9228               3
1672        2225            2014-03-06 00:00:00.000 57247.1179            1295.1837             4144.5877             1
1672        1435            2013-12-14 00:00:00.000 57247.1179            1295.1837             4144.5877             2
1672        1055            2013-10-14 00:00:00.000 57247.1179            1295.1837             4144.5877             3
1674        3292            2014-06-12 00:00:00.000 1043.5289             23.6093               75.5496               1
1674        3371            2014-06-19 00:00:00.000 1043.5289             23.6093               75.5496               2
1674        3134            2014-05-30 00:00:00.000 1043.5289             23.6093               75.5496               3
1676        4008            2014-04-22 00:00:00.000 436401.90             7934.58               31738.32              1
1678        3700            2014-07-15 00:00:00.000 64847.5328            1467.1388             4694.844              1
1678        3779            2014-07-21 00:00:00.000 64847.5328            1467.1388             4694.844              2
1678        3858            2014-07-26 00:00:00.000 64847.5328            1467.1388             4694.844              3
1680        1133            2013-11-11 00:00:00.000 70533.3379            1595.7769             5106.486              1
1680        1370            2013-12-06 00:00:00.000 70533.3379            1595.7769             5106.486              2
1680        1686            2014-01-10 00:00:00.000 70533.3379            1595.7769             5106.486              3
1682        3674            2014-07-12 00:00:00.000 23821.6729            538.9519              1724.646              1
1682        3753            2014-07-18 00:00:00.000 23821.6729            538.9519              1724.646              2
1682        3832            2014-07-24 00:00:00.000 23821.6729            538.9519              1724.646              3
1684        1148            2013-11-11 00:00:00.000 95273.9288            2155.5188             6897.66               1
1684        1227            2013-11-22 00:00:00.000 95273.9288            2155.5188             6897.66               2
1684        1385            2013-12-09 00:00:00.000 95273.9288            2155.5188             6897.66               3
1686        1305            2013-11-29 00:00:00.000 2114.2076             47.8328               153.0648              1
1686        735             2013-08-28 00:00:00.000 884.1105              20.0025               64.008                2
1686        1937            2014-02-10 00:00:00.000 784.9091              17.7581               56.826                3
1688        1481            2013-12-19 00:00:00.000 138.9515              3.1437                10.0598               1
1688        1639            2014-01-06 00:00:00.000 138.9515              3.1437                10.0598               2
1688        1560            2013-12-30 00:00:00.000 138.9515              3.1437                10.0598               3
1690        2838            2014-05-05 00:00:00.000 161.6461              3.6572                11.7029               1
1690        2917            2014-05-14 00:00:00.000 161.6461              3.6572                11.7029               2
1690        3075            2014-05-26 00:00:00.000 161.6461              3.6572                11.7029               3
1692        1657            2014-01-08 00:00:00.000 18114.5192            409.8308              1311.4584             1
1692        1578            2013-12-31 00:00:00.000 18114.5192            409.8308              1311.4584             2
1692        858             2013-09-09 00:00:00.000 18114.5192            409.8308              1311.4584             3
1694        3480            2014-06-27 00:00:00.000 8423.415              190.575               609.84                1
1694        3638            2014-07-10 00:00:00.000 8423.415              190.575               609.84                2
1694        3559            2014-07-03 00:00:00.000 8423.415              190.575               609.84                3
1696        1895            2014-02-05 00:00:00.000 168602.3089           3814.5319             12206.502             1
1696        335             2013-04-25 00:00:00.000 168602.3089           3814.5319             12206.502             2
1696        2685            2014-04-22 00:00:00.000 168602.3089           3814.5319             12206.502             3
1698        3235            2014-06-09 00:00:00.000 166.6235              3.7698                12.0632               1
1698        3314            2014-06-16 00:00:00.000 166.6235              3.7698                12.0632               2
1698        3156            2014-06-02 00:00:00.000 166.6235              3.7698                12.0632               3

(248 rows affected)


Completion time: 2022-09-14T12:41:24.1694854+05:30
